stock,start_date,end_date,yield,volatility,idiosyncratic_volatility
000650.SZ,2019/12/31,2020/3/31,12.9802,52.0779,0.0330
000650.SZ,2020/3/31,2020/6/30,-16.7881,23.9377,0.0143
000650.SZ,2020/6/30,2020/9/30,9.6848,38.7714,0.0204
000651.SZ,2019/9/30,2019/12/31,77.2661,29.5711,0.0175
000651.SZ,2019/12/31,2020/3/31,-61.974,39.8199,0.0143
000651.SZ,2020/3/31,2020/6/30,53.2512,28.4105,0.0171
000651.SZ,2020/6/30,2020/9/30,-19.3387,26.5413,0.0111
000655.SZ,2019/9/30,2019/12/31,41.9336,29.1425,0.0171
000655.SZ,2019/12/31,2020/3/31,-41.4327,51.5255,0.0238
000655.SZ,2020/3/31,2020/6/30,86.3713,49.3679,0.0293
000655.SZ,2020/6/30,2020/9/30,47.1755,48.8075,0.0215
000656.SZ,2019/9/30,2019/12/31,93.5301,30.5375,0.0181
000656.SZ,2019/12/31,2020/3/31,24.4166,48.3531,0.0221
000656.SZ,2020/3/31,2020/6/30,1.5465,27.1216,0.0159
000656.SZ,2020/6/30,2020/9/30,85.9183,48.1693,0.0255
000661.SZ,2019/9/30,2019/12/31,53.6418,34.2957,0.0212
000661.SZ,2019/12/31,2020/3/31,163.7557,48.1596,0.0234
000661.SZ,2020/3/31,2020/6/30,685.5131,35.1511,0.0213
000661.SZ,2020/6/30,2020/9/30,-40.0677,50.9274,0.0308
000665.SZ,2019/9/30,2019/12/31,-13.756,27.0873,0.0141
000665.SZ,2019/12/31,2020/3/31,4.8391,71.0811,0.0338
000665.SZ,2020/3/31,2020/6/30,-14.4754,46.3365,0.0289
000665.SZ,2020/6/30,2020/9/30,-18.7793,31.6196,0.0152
000667.SZ,2019/9/30,2019/12/31,-14.7246,14.4033,0.0088
000667.SZ,2019/12/31,2020/3/31,20.3133,31.4004,0.0148
000667.SZ,2020/3/31,2020/6/30,-12.5149,19.8504,0.0121
000667.SZ,2020/6/30,2020/9/30,252.3244,34.1333,0.0181
000671.SZ,2019/9/30,2019/12/31,341.9051,43.9551,0.0252
000671.SZ,2019/12/31,2020/3/31,-57.2006,53.6582,0.0268
000671.SZ,2020/3/31,2020/6/30,-31.1976,27.9395,0.0150
000671.SZ,2020/6/30,2020/9/30,68.1117,50.0616,0.0307
000672.SZ,2019/9/30,2019/12/31,230.2554,46.3841,0.0246
000672.SZ,2019/12/31,2020/3/31,63.9226,56.1188,0.0253
000672.SZ,2020/3/31,2020/6/30,125.7562,39.5994,0.0227
000672.SZ,2020/6/30,2020/9/30,11.6261,42.9862,0.0213
000681.SZ,2019/9/30,2019/12/31,-55.8908,45.3385,0.0280
000681.SZ,2019/12/31,2020/3/31,-22.6542,55.0956,0.0264
000681.SZ,2020/3/31,2020/6/30,121.7842,47.5355,0.0296
000681.SZ,2020/6/30,2020/9/30,-52.4305,34.4254,0.0162
000683.SZ,2019/9/30,2019/12/31,-6.8011,16.5182,0.0081
000683.SZ,2019/12/31,2020/3/31,-45.1528,31.5834,0.0094
000683.SZ,2020/3/31,2020/6/30,-22.9335,31.3964,0.0177
000683.SZ,2020/6/30,2020/9/30,153.1258,59.2321,0.0347
000690.SZ,2019/9/30,2019/12/31,-19.3767,18.002,0.0107
000690.SZ,2019/12/31,2020/3/31,-30.1748,38.8376,0.0190
000690.SZ,2020/3/31,2020/6/30,-25.5852,14.4361,0.0082
000690.SZ,2020/6/30,2020/9/30,201.8214,46.7279,0.0249
000703.SZ,2019/9/30,2019/12/31,59.9201,28.8998,0.0181
000703.SZ,2019/12/31,2020/3/31,-34.0429,38.9299,0.0211
000703.SZ,2020/3/31,2020/6/30,18.9668,26.0734,0.0141
